concept:name,time:timestamp,case:concept:name
Assign seriousness,2024-07-31 20:27:20,case_1
Resolve ticket,2024-08-05 08:45:04,case_1
Resolve ticket,2024-08-05 08:45:04,case_1
Closed,2024-09-04 08:57:32,case_1
Assign seriousness,2024-07-31 19:54:46,case_3
Resolve ticket,2024-07-31 19:54:46,case_3
Resolve ticket,2024-08-02 08:29:47,case_3
Closed,2024-08-26 08:27:45,case_3
Assign seriousness,2024-07-31 19:20:23,case_4
Resolve ticket,2024-07-31 19:20:23,case_4
Resolve ticket,2024-08-02 08:21:42,case_4
Closed,2024-09-12 08:19:06,case_4
Assign seriousness,2024-07-31 21:18:29,case_5
Resolve ticket,2024-08-02 11:06:06,case_5
Resolve ticket,2024-08-06 16:40:00,case_5
Closed,2024-08-14 08:04:56,case_5
Assign seriousness,2024-07-31 19:55:17,case_6
Resolve ticket,2024-08-05 11:10:44,case_6
Resolve ticket,2024-08-06 08:29:33,case_6
Closed,2024-09-18 08:13:02,case_6
Assign seriousness,2024-08-01 00:09:46,case_7
Resolve ticket,2024-08-05 16:34:17,case_7
Resolve ticket,2024-08-05 16:34:17,case_7
Closed,2024-09-16 11:26:56,case_7
Assign seriousness,2024-07-31 19:34:01,case_8
Resolve SW anomaly,2024-07-31 19:34:01,case_8
Resolve ticket,2024-09-02 08:22:55,case_8
Closed,2024-10-09 08:40:12,case_8
Assign seriousness,2024-07-31 20:23:47,case_9
Assign seriousness,2024-08-09 14:27:38,case_9
Resolve ticket,2024-08-09 14:27:38,case_9
Closed,2024-09-02 09:47:31,case_9
Assign seriousness,2024-07-31 20:07:00,case_10
RESOLVED,2024-08-12 08:18:46,case_10
Resolve ticket,2024-08-16 14:37:55,case_10
Closed,2024-09-12 14:44:36,case_10
Assign seriousness,2024-07-31 20:21:34,case_11
Resolve ticket,2024-07-31 20:21:34,case_11
Resolve ticket,2024-07-31 20:21:34,case_11
Closed,2024-09-05 08:46:07,case_11
Assign seriousness,2024-07-31 20:04:00,case_12
Resolve ticket,2024-08-01 08:38:25,case_12
Resolve ticket,2024-08-01 08:38:25,case_12
Closed,2024-08-19 09:17:44,case_12
Assign seriousness,2024-07-31 19:31:10,case_13
Resolve ticket,2024-08-02 16:24:51,case_13
Resolve ticket,2024-08-05 08:48:10,case_13
Closed,2024-09-16 08:09:49,case_13
Assign seriousness,2024-07-31 20:53:22,case_14
Insert ticket,2024-08-01 08:40:30,case_14
Resolve ticket,2024-08-05 08:39:54,case_14
Closed,2024-09-09 17:43:51,case_14
Assign seriousness,2024-07-31 20:09:37,case_15
