case:concept:name,concept:name,time:timestamp
1752835765,Accepted,2024-08-12 14:32:01.137567+00:00
1752835765,Accepted,2025-02-03 18:40:20.911956+00:00
1752835765,Accepted,2025-04-11 10:25:46.467823+00:00
1752835765,Accepted,2025-10-28 08:05:15.766776+00:00
1752835765,Completed,2026-06-19 14:09:39.700750+00:00
1752835765,Unmatched,2026-11-02 15:04:25.606250+00:00
1752835765,Unmatched,2027-03-16 16:01:23.961772+00:00
1752835765,Unmatched,2028-01-14 08:37:40.592243+00:00
1752835766,Queued,2024-08-12 16:58:11.708390+00:00
1752835766,Accepted,2024-12-02 08:11:09.626779+00:00
1752835766,Accepted,2024-12-13 08:59:39.716886+00:00
1752835766,Accepted,2025-06-13 08:26:18.837253+00:00
1752835766,Accepted,2025-06-25 08:51:34.908510+00:00
1752835766,Accepted,2025-07-07 13:53:06.843760+00:00
1752835766,Accepted,2025-11-17 14:46:51.250915+00:00
1752835766,Completed,2025-11-17 14:46:51.251015+00:00
1752835767,Queued,2024-08-13 02:22:53.837973+00:00
1752835767,Accepted,2024-11-28 12:03:02.931859+00:00
1752835767,Accepted,2025-06-10 18:21:53.562698+00:00
1752835767,Accepted,2025-06-10 18:21:53.562798+00:00
1752835767,Accepted,2026-03-11 17:07:49.028354+00:00
1752835767,Accepted,2026-03-11 17:07:49.028454+00:00
1752835767,Completed,2026-08-10 19:43:17.375747+00:00
1752835767,Unmatched,2027-02-17 08:26:32.429308+00:00
1752835768,Queued,2024-08-12 15:03:36.765231+00:00
1752835768,Accepted,2024-08-12 15:03:36.765331+00:00
1752835768,Accepted,2024-08-16 15:44:27.986081+00:00
1752835768,Accepted,2024-10-21 16:49:39.607358+00:00
1752835768,Accepted,2024-11-04 08:34:26.525928+00:00
1752835768,Accepted,2025-10-06 08:38:15.556070+00:00
1752835768,Completed,2026-01-12 08:02:38.693901+00:00
1752835768,Unmatched,2026-07-15 08:02:21.753932+00:00
1752835769,Queued,2024-08-12 13:59:07.151353+00:00
1752835769,Accepted,2024-09-25 19:27:41.954701+00:00
1752835769,Accepted,2025-03-28 13:21:06.914905+00:00
1752835769,Accepted,2025-03-28 13:21:06.915005+00:00
1752835769,Accepted,2025-03-28 13:21:06.915105+00:00
